lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.0,piml-conservation,large,67074,1024,11,101,success,0.0008349295821972191,0.0008533738437108696,0.000699817668646574,5.082337338535581e-06,6.079608283471316e-06,3.2157640816876665e-06,241,5.626783847808838
0.0,piml-conservation,large,67074,1024,11,202,success,0.0007674302905797958,0.000797411659732461,0.0006179593619890511,4.221537892590277e-06,4.878680556430481e-06,2.5786989681364503e-06,234,6.3246729373931885
0.0,piml-conservation,large,67074,1024,11,303,success,0.0008731619454920292,0.0009270603768527508,0.0007326240302063525,5.355114808480721e-06,6.210842002474237e-06,3.400673222131445e-06,194,4.840277910232544
0.0,piml-conservation,large,67074,128,11,101,success,0.0029158161487430334,0.0030625888612121344,0.0010027044918388128,8.855390478856862e-05,9.016324474941939e-05,4.984228780813282e-06,396,4.17897629737854
0.0,piml-conservation,large,67074,128,11,202,success,0.0029511884786188602,0.003224846674129367,0.0010302482405677438,0.00010583445691736415,0.00011598893615882844,9.622685865906533e-06,399,4.082530736923218
0.0,piml-conservation,large,67074,128,11,303,success,0.0025791828520596027,0.0028209658339619637,0.0007738916319794953,9.152910934062675e-05,0.00010424084757687524,2.8102074338676175e-06,399,4.365405797958374
0.0,piml-conservation,large,67074,4096,11,101,success,0.0007732710801064968,0.000781966489739716,0.0007364563061855733,4.231194452586351e-06,4.458805051399395e-06,3.866990027745487e-06,59,5.115180730819702
0.0,piml-conservation,large,67074,4096,11,202,success,0.0007845325162634254,0.0007906530518084764,0.0007460828637704253,4.90823322252254e-06,4.554282440949464e-06,4.2953056436090264e-06,45,4.553241491317749
0.0,piml-conservation,large,67074,4096,11,303,success,0.0007246799068525434,0.0007433927385136485,0.0007101191440597177,3.4285292258573463e-06,3.7393233469629195e-06,3.3589919894438935e-06,94,7.4916887283325195
0.0,piml-conservation,small,4482,1024,11,101,success,0.002363665262237191,0.002422382589429617,0.0021094540134072304,3.894623660016805e-05,3.8984893762972206e-05,2.965800740639679e-05,383,6.278806447982788
0.0,piml-conservation,small,4482,1024,11,202,success,0.002018548548221588,0.0020162160508334637,0.0017523744609206915,2.4638789909658954e-05,2.491793748049531e-05,1.7338657926302403e-05,391,6.885991334915161
0.0,piml-conservation,small,4482,1024,11,303,success,0.0021013941150158644,0.0021375755313783884,0.001803439692594111,2.7322899768478237e-05,2.7208810934098437e-05,1.9290309865027666e-05,397,7.126392602920532
0.0,piml-conservation,small,4482,128,11,101,success,0.0055546872317790985,0.0055913464166224,0.003623366355895996,0.00028172004385851324,0.00027415482327342033,0.00014873217151034623,399,3.4559199810028076
0.0,piml-conservation,small,4482,128,11,202,success,0.006613795179873705,0.006772847846150398,0.004377156961709261,0.0003281582903582603,0.00032931927125900984,0.00011976245150435716,399,3.3608155250549316
0.0,piml-conservation,small,4482,128,11,303,success,0.006155746057629585,0.006618511863052845,0.004046183545142412,0.0003593047149479389,0.00039469185867346823,9.073797264136374e-05,399,3.400867462158203
0.0,piml-conservation,small,4482,4096,11,101,success,0.0012931603705510497,0.0012720976956188679,0.0012043091701343656,1.0566273886070121e-05,1.0859263056772761e-05,9.235827747033909e-06,314,13.31771731376648
0.0,piml-conservation,small,4482,4096,11,202,success,0.001211073948070407,0.0012338269734755158,0.0011238915612921119,8.993116352939978e-06,9.022820449899882e-06,7.537640158261638e-06,237,11.111722469329834
0.0,piml-conservation,small,4482,4096,11,303,success,0.0012932643294334412,0.0012766252039000392,0.0012133738491684198,9.586750820744783e-06,9.02825740922708e-06,8.312012141686864e-06,210,9.303964376449585
0.0001,piml-conservation,large,67074,1024,11,101,nan,0.08671519160270691,0.08744099736213684,0.08636119216680527,0.03541893884539604,0.035197220742702484,0.03570886701345444,0,0.027338027954101562
0.0001,piml-conservation,large,67074,1024,11,202,nan,0.07849270850419998,0.07773271948099136,0.07877466082572937,0.03247079998254776,0.031566839665174484,0.03271656483411789,-1,0.014928817749023438
0.0001,piml-conservation,large,67074,1024,11,303,nan,0.0955340638756752,0.10134708881378174,0.09656104445457458,0.03647376969456673,0.03849140182137489,0.03696557879447937,0,0.026351213455200195
0.0001,piml-conservation,large,67074,128,11,101,nan,0.09432420134544373,0.09474807977676392,0.08801457285881042,0.0457431934773922,0.045999087393283844,0.04062361642718315,6,0.11644887924194336
0.0001,piml-conservation,large,67074,128,11,202,nan,0.07782018184661865,0.07800716906785965,0.08004667609930038,0.0364941768348217,0.03651416674256325,0.03844192996621132,5,0.07004404067993164
0.0001,piml-conservation,large,67074,128,11,303,nan,0.09323284775018692,0.09551308304071426,0.09751242399215698,0.045005831867456436,0.046440981328487396,0.04343568906188011,5,0.09494590759277344
0.0001,piml-conservation,large,67074,4096,11,101,nan,0.09753064811229706,0.10117138922214508,0.0982925221323967,0.038462985306978226,0.03912350907921791,0.0386568084359169,-1,0.015972375869750977
0.0001,piml-conservation,large,67074,4096,11,202,nan,0.07709973305463791,0.07749418169260025,0.07754890620708466,0.03696439042687416,0.03661492094397545,0.036968983709812164,-1,0.013521432876586914
0.0001,piml-conservation,large,67074,4096,11,303,nan,0.09731540828943253,0.10433182865381241,0.09957089275121689,0.037033386528491974,0.0390271320939064,0.037599220871925354,-1,0.017264842987060547
0.0001,piml-conservation,small,4482,1024,11,101,nan,0.07418345659971237,0.07489630579948425,0.07423024624586105,0.02949979528784752,0.028643647208809853,0.02921356074512005,5,0.14763975143432617
0.0001,piml-conservation,small,4482,1024,11,202,nan,0.04158660024404526,0.041064221411943436,0.04111688956618309,0.01459405105561018,0.013654880225658417,0.01358785293996334,8,0.19751787185668945
0.0001,piml-conservation,small,4482,1024,11,303,nan,0.07656341046094894,0.0766858235001564,0.07567302137613297,0.026247330009937286,0.025350267067551613,0.02555380016565323,5,0.13199305534362793
0.0001,piml-conservation,small,4482,128,11,101,success,0.006639379076659679,0.006746955215930939,0.004450601525604725,0.00037309376057237387,0.00039025419391691685,0.00018456777615938336,399,4.293402910232544
0.0001,piml-conservation,small,4482,128,11,202,success,0.00792943499982357,0.008272334933280945,0.005012126639485359,0.00039751094300299883,0.0004233572108205408,0.0001386131189065054,399,4.100713014602661
0.0001,piml-conservation,small,4482,128,11,303,success,0.0067244344390928745,0.007146517746150494,0.005078600719571114,0.0003972081176470965,0.00043154184822924435,0.00011996052489848807,399,4.049994468688965
0.0001,piml-conservation,small,4482,4096,11,101,nan,0.13812169432640076,0.14601027965545654,0.14132744073867798,0.09812849760055542,0.10161729902029037,0.10083979368209839,0,0.07057023048400879
0.0001,piml-conservation,small,4482,4096,11,202,nan,0.05843072012066841,0.0575992688536644,0.05735018476843834,0.023107752203941345,0.021933602169156075,0.022215377539396286,1,0.10419130325317383
0.0001,piml-conservation,small,4482,4096,11,303,nan,0.09649746119976044,0.098013736307621,0.09722459316253662,0.04675785079598427,0.046161551028490067,0.04648912698030472,0,0.18941116333007812
0.001,piml-conservation,large,67074,1024,11,101,nan,0.08673260360956192,0.0874616801738739,0.0863775983452797,0.035434797406196594,0.035214923322200775,0.03572477400302887,0,0.03238630294799805
0.001,piml-conservation,large,67074,1024,11,202,nan,0.07850270718336105,0.07774347066879272,0.07878518104553223,0.03248685970902443,0.03158342093229294,0.032732799649238586,-1,0.01184844970703125
0.001,piml-conservation,large,67074,1024,11,303,nan,0.09552007913589478,0.10132016241550446,0.09654513001441956,0.03646561875939369,0.038477975875139236,0.03695875033736229,0,0.046835899353027344
0.001,piml-conservation,large,67074,128,11,101,nan,0.09433677047491074,0.09475984424352646,0.08804155141115189,0.045754678547382355,0.04600949585437775,0.04064587503671646,6,0.11654067039489746
0.001,piml-conservation,large,67074,128,11,202,nan,0.07783986628055573,0.07802663743495941,0.08006557822227478,0.03651674836874008,0.03653626888990402,0.03846406564116478,5,0.07285141944885254
0.001,piml-conservation,large,67074,128,11,303,nan,0.09324810653924942,0.0955284908413887,0.09755545854568481,0.045020971447229385,0.046457089483737946,0.04346363618969917,5,0.12416458129882812
0.001,piml-conservation,large,67074,4096,11,101,nan,0.09755411744117737,0.10119570791721344,0.09831506013870239,0.038476549088954926,0.03913765773177147,0.03867040574550629,-1,0.025159120559692383
0.001,piml-conservation,large,67074,4096,11,202,nan,0.07712005078792572,0.07751568406820297,0.0775705948472023,0.03698202595114708,0.03663289174437523,0.0369868203997612,-1,0.017092227935791016
0.001,piml-conservation,large,67074,4096,11,303,nan,0.09722577035427094,0.10422363877296448,0.09947507083415985,0.036995694041252136,0.038982413709163666,0.03755851835012436,-1,0.022849559783935547
0.001,piml-conservation,small,4482,1024,11,101,nan,0.07421541213989258,0.07493167370557785,0.07426093518733978,0.029516268521547318,0.028659777715802193,0.02922886796295643,5,0.14272356033325195
0.001,piml-conservation,small,4482,1024,11,202,nan,0.04162745177745819,0.04111146181821823,0.04116392880678177,0.01460874080657959,0.013668760657310486,0.013602993451058865,8,0.3120429515838623
0.001,piml-conservation,small,4482,1024,11,303,nan,0.07655848562717438,0.07667991518974304,0.07566644996404648,0.026250112801790237,0.02535225823521614,0.025553423911333084,5,0.14488720893859863
0.001,piml-conservation,small,4482,128,11,101,success,0.006950468756258488,0.007167472504079342,0.004447493702173233,0.0004145508573856205,0.0004470077983569354,0.0001993589976336807,399,4.207917928695679
0.001,piml-conservation,small,4482,128,11,202,success,0.007906357757747173,0.008246535435318947,0.004988676402717829,0.00039540533907711506,0.00042062881402671337,0.00013896187010686845,399,4.332371711730957
