lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.0,piml,large,67074,1024,11,101,success,0.0008349295821972191,0.0008533738437108696,0.000699817668646574,5.082337338535581e-06,6.079608283471316e-06,3.2157640816876665e-06,241,4.647752523422241
0.0,piml,large,67074,1024,11,202,success,0.0007674302905797958,0.000797411659732461,0.0006179593619890511,4.221537892590277e-06,4.878680556430481e-06,2.5786989681364503e-06,234,4.9897449016571045
0.0,piml,large,67074,1024,11,303,success,0.0008731619454920292,0.0009270603768527508,0.0007326240302063525,5.355114808480721e-06,6.210842002474237e-06,3.400673222131445e-06,194,4.411508321762085
0.0,piml,large,67074,1024,22,101,success,0.0008567787590436637,0.0008729465189389884,0.0007122866227291524,6.624703019042499e-06,6.9891825660306495e-06,3.4638096622074954e-06,201,4.466745853424072
0.0,piml,large,67074,1024,22,202,success,0.0008895572973415256,0.0009150729747489095,0.0007491043070331216,7.023685611784458e-06,7.46522755434853e-06,4.083342901139986e-06,184,4.1381676197052
0.0,piml,large,67074,1024,22,303,success,0.0009220662759616971,0.0009652342414483428,0.0007850995752960443,6.884431968501303e-06,7.417861525027547e-06,3.843394551950041e-06,176,3.684385061264038
0.0,piml,large,67074,1024,33,101,success,0.0008025298011489213,0.0007851204718463123,0.0006910636438988149,5.254645657259971e-06,5.7181705415132456e-06,3.114082574029453e-06,244,4.659465789794922
0.0,piml,large,67074,1024,33,202,success,0.0008475116337649524,0.0008144830935634673,0.0006888897623866796,6.205093995959032e-06,6.875292001495836e-06,3.092752876909799e-06,274,5.215730667114258
0.0,piml,large,67074,1024,33,303,success,0.0008583777234889567,0.0008362570661120117,0.0007197943632490933,5.2008435886818916e-06,5.821368176839314e-06,3.068046225962462e-06,180,4.562254428863525
0.0,piml,large,67074,128,11,101,success,0.0029158161487430334,0.0030625888612121344,0.0010027044918388128,8.855390478856862e-05,9.016324474941939e-05,4.984228780813282e-06,396,3.1811940670013428
0.0,piml,large,67074,128,11,202,success,0.0029511884786188602,0.003224846674129367,0.0010302482405677438,0.00010583445691736415,0.00011598893615882844,9.622685865906533e-06,399,3.260366439819336
0.0,piml,large,67074,128,11,303,success,0.0025791828520596027,0.0028209658339619637,0.0007738916319794953,9.152910934062675e-05,0.00010424084757687524,2.8102074338676175e-06,399,3.2496109008789062
0.0,piml,large,67074,128,22,101,success,0.00269189290702343,0.002931552706286311,0.001268449006602168,6.474499241448939e-05,8.038497617235407e-05,1.1244227607676294e-05,399,3.334695816040039
0.0,piml,large,67074,128,22,202,success,0.0024367389269173145,0.002589360112324357,0.001019189483486116,6.028672942193225e-05,7.356900459853932e-05,7.201798325695563e-06,396,3.3355143070220947
0.0,piml,large,67074,128,22,303,success,0.002298684325069189,0.002460093004629016,0.0009011981310322881,5.3919211495667696e-05,6.61315571051091e-05,8.50043124955846e-06,399,3.1187312602996826
0.0,piml,large,67074,128,33,101,success,0.0032380034681409597,0.002911381423473358,0.0014183911262080073,0.000208403478609398,0.0001729531359160319,1.4532126442645676e-05,399,3.1174721717834473
0.0,piml,large,67074,128,33,202,success,0.0032670353539288044,0.0029886499978601933,0.0014132842188701034,0.00017950046458281577,0.00015222247748170048,2.0035033230669796e-05,398,3.1994524002075195
0.0,piml,large,67074,128,33,303,success,0.002809627214446664,0.002616490935906768,0.0012324987910687923,0.00012102475739084184,0.00010245342127745971,1.4993169315857813e-05,399,3.270840644836426
0.0,piml,large,67074,4096,11,101,success,0.0007732710801064968,0.000781966489739716,0.0007364563061855733,4.231194452586351e-06,4.458805051399395e-06,3.866990027745487e-06,59,4.389806032180786
0.0,piml,large,67074,4096,11,202,success,0.0007845325162634254,0.0007906530518084764,0.0007460828637704253,4.90823322252254e-06,4.554282440949464e-06,4.2953056436090264e-06,45,3.710017442703247
0.0,piml,large,67074,4096,11,303,success,0.0007246799068525434,0.0007433927385136485,0.0007101191440597177,3.4285292258573463e-06,3.7393233469629195e-06,3.3589919894438935e-06,94,5.714734315872192
0.0,piml,large,67074,4096,22,101,success,0.0007270800997503102,0.0007731502410024405,0.000742812582757324,2.8765155093424255e-06,3.1734266485727858e-06,2.917479605457629e-06,120,6.70854640007019
0.0,piml,large,67074,4096,22,202,success,0.0007142758695408702,0.0007460046908818185,0.0006841275608167052,3.063540589209879e-06,3.572419245756464e-06,2.8214815301907947e-06,97,5.982107877731323
0.0,piml,large,67074,4096,22,303,success,0.0007392741390503943,0.000775959575548768,0.0007197743398137391,3.2420707611890975e-06,3.764438133657677e-06,3.0150506518111797e-06,72,4.679687261581421
