model_name,is_physics_informed,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
piml,True,small,"64,64",4482,64,2,2,0.0,0.0,0.0918392613530159,0.018075466237306485,0.012781284749507904,0.09023809060454369,0.020119709562274313,0.01422678306698799,0.0402626171708107,0.01945879956241892,0.013759449124336241,0.11252975463867188,0.0044743094379165104,0.0031638145446777344
piml,True,small,"64,64",4482,128,2,2,0.0,0.0,0.07478983700275421,0.0026380344685696237,0.001865372061729431,0.07442033290863037,0.0001543733693832771,0.00010915845632553099,0.022694818675518036,0.0019160378801537535,0.0013548433780670164,0.16147100925445557,0.0196763405210079,0.01391327381134033
piml,True,small,"64,64",4482,256,2,2,0.0,0.0,0.02822707500308752,0.005781985218684844,0.004088480956852435,0.028790203854441643,0.007444316192960223,0.005263926461338996,0.003167642164044082,0.0005376839747023017,0.00038019998464733357,0.222090482711792,0.0025062201998518026,0.0017721652984619138
piml,True,tiny,"32,32",1218,64,2,2,0.0,0.0,0.11687345057725906,0.011386202932884833,0.008051261305809021,0.11774175986647606,0.01869442958618141,0.013218957930803299,0.08900019899010658,0.03639704372813627,0.025736596435308453,0.13092708587646484,0.004264249544938215,0.003015279769897461
piml,True,tiny,"32,32",1218,128,2,2,0.0,0.0,0.11797243729233742,0.013960189996786089,0.00987134501338005,0.11947270855307579,0.021698193332704317,0.015342939645051954,0.09012304246425629,0.0410543811240674,0.029029831290245053,0.14025485515594482,0.0005676337557447208,0.00040137767791748047
piml,True,tiny,"32,32",1218,256,2,2,0.0,0.0,0.06890421360731125,0.00838959361389665,0.005932338535785674,0.06707491166889668,0.006676932717054183,0.004721304401755332,0.01863924227654934,0.004532295598933405,0.0032048169523477554,0.20432376861572266,0.002889925108694982,0.002043485641479492
plain,False,small,"64,64",4482,64,2,2,0.0,0.0,0.09084562212228775,0.018219777046607787,0.012883327901363373,0.08617577701807022,0.01930203435938265,0.01364859938621521,0.03893194254487753,0.017790865691469624,0.012580041773617266,0.10483968257904053,0.005463748853558259,0.0038634538650512695
plain,False,small,"64,64",4482,128,2,2,0.0,0.0,0.07423660904169083,0.0032433685803073395,0.002293407917022705,0.07155245542526245,5.803621039950108e-05,4.1037797927856445e-05,0.02327261958271265,0.0017196638591403545,0.0012159859761595724,0.11933493614196777,0.006958950451330735,0.004920721054077148
plain,False,small,"64,64",4482,256,2,2,0.0,0.0,0.02115627843886614,0.004879068014679897,0.003450022079050541,0.023054814897477627,0.006756907679192621,0.0047778552398085586,0.002062721992842853,0.0005825380996855127,0.00041191664058715105,0.18080520629882812,0.0023662926627956347,0.0016732215881347656
plain,False,tiny,"32,32",1218,64,2,2,0.0,0.0,0.11402740702033043,0.009796829470470827,0.006927404552698135,0.11419954150915146,0.01873647633592709,0.013248689472675322,0.08862097561359406,0.03546109393161091,0.025074779987335205,0.1270434856414795,0.021992562727772592,0.015551090240478514
plain,False,tiny,"32,32",1218,128,2,2,0.0,0.0,0.11464017629623413,0.012300262709964847,0.008697599172592163,0.11551325395703316,0.021099149638106853,0.014919351786375046,0.08883335627615452,0.03989204216494381,0.02820793353021145,0.1445467472076416,0.021171542118780376,0.01497054100036621
plain,False,tiny,"32,32",1218,256,2,2,0.0,0.0,0.06543535180389881,0.005005230654430211,0.003539232537150383,0.06115999259054661,0.0029048003120412955,0.002054003998637199,0.01799036841839552,0.0028897947168824013,0.0020433934405446053,0.18853366374969482,0.013462883526137859,0.009519696235656738
