model_name,is_physics_informed,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
piml,True,large,"256,256",67074,64,9,9,0.0,0.0,0.019763771030637953,0.002112843455625949,0.0007042811518753163,0.019918139196104474,0.0020055763053613246,0.0006685254351204415,0.0022802401929058963,0.0008112902869099891,0.00027043009563666303,6.060913377337986,3.4389258063629398,1.1463086021209798
piml,True,large,"256,256",67074,128,9,9,0.0,0.0,0.017554863252573542,0.0008955909591685673,0.00029853031972285575,0.017541417645083532,0.0005637620070624065,0.00018792066902080217,0.001595406870668133,0.0005368011183205031,0.00017893370610683437,7.865487469567193,3.156928464865203,1.052309488288401
piml,True,large,"256,256",67074,256,9,9,0.0,0.0,0.01696713703374068,0.00021672625978789406,7.224208659596468e-05,0.01701475286649333,0.0004093154980496482,0.00013643849934988272,0.001298169282058047,2.6092363727234428e-05,8.69745457574481e-06,6.689585553275214,2.3163328535631535,0.7721109511877179
piml,True,large,"256,256",67074,512,9,9,0.0,0.0,0.01592945835242669,0.0004333192442617344,0.0001444397480872448,0.016011150139901374,0.0002989366562537644,9.964555208458814e-05,0.0011545770491162937,5.4790577081032966e-05,1.8263525693677656e-05,5.50803542137146,1.4177070309576296,0.4725690103192099
piml,True,large,"256,256",67074,1024,9,9,0.0,0.0,0.015690510264701314,0.0003243736111637704,0.00010812453705459013,0.015735177012781303,0.00021251025496446521,7.083675165482174e-05,0.0011269686898837488,3.8506538520643816e-05,1.2835512840214605e-05,7.40887893570794,1.9984299677663389,0.6661433225887796
piml,True,large,"256,256",67074,2048,9,9,0.0,0.0,0.015033335838880803,0.0015816325472265405,0.0005272108490755135,0.015058426600363519,0.001732529101652702,0.0005775097005509006,0.0010291502015509952,0.0002450280068125276,8.167600227084253e-05,11.744668086369833,5.974874896066507,1.9916249653555023
piml,True,large,"256,256",67074,4096,9,9,0.0,0.0,0.0141581730503175,0.0011868838665911904,0.0003956279555303968,0.014197717420756817,0.0011667056636305688,0.0003889018878768563,0.0008768380761870907,0.00019140156248248383,6.380052082749461e-05,22.046416097217136,8.031784596551994,2.677261532183998
piml,True,large,"256,256",67074,8192,9,9,0.0,0.0,0.014300866362949213,0.0006299619407186929,0.00020998731357289762,0.014387345872819424,0.0004973094187487238,0.00016576980624957458,0.0008870216422817773,0.00010243835975524457,3.4146119918414853e-05,39.40094510714213,13.941999619946584,4.647333206648861
piml,True,medium,"128,128",17154,64,9,9,0.0,0.0,0.020191973075270653,0.0024962494316404043,0.0008320831438801348,0.02045709350042873,0.0026497403310103934,0.0008832467770034645,0.0024334536089251437,0.0011098469627329527,0.0003699489875776509,13.111347966723972,3.904481942500142,1.3014939808333807
piml,True,medium,"128,128",17154,128,9,9,0.0,0.0,0.018165350167287722,0.0014232251023219213,0.0004744083674406404,0.018264584036337003,0.0011316285262582772,0.00037720950875275904,0.0017422182330240805,0.0007546816742184322,0.00025156055807281074,10.914758682250977,2.843831882388048,0.9479439607960161
piml,True,medium,"128,128",17154,256,9,9,0.0,0.0,0.017367712325519986,0.0006172406043795329,0.00020574686812651095,0.017510365487800703,0.0007628291027686415,0.0002542763675895472,0.0013896815297711226,0.0001069594245953564,3.565314153178546e-05,11.250431299209595,3.3025379951955576,1.1008459983985193
