model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
piml-simpson,True,simpson,large,"256,256",67588,64,9,9,0.0,0.0,0.0052569536750929225,0.0015502016498006453,0.0005167338832668817,0.005437616621040636,0.0016826789777504715,0.0005608929925834905,0.0004093745341783182,0.00032962375029586534,0.00010987458343195512,3.115128676096598,0.28214578638670973,0.09404859546223658
piml-simpson,True,simpson,large,"256,256",67588,128,9,9,0.0,0.0,0.0032993795143233407,0.0003332333989911316,0.00011107779966371053,0.00338062289584842,0.00035128920843228864,0.00011709640281076289,0.0001253893149421654,4.553661757489915e-05,1.5178872524966384e-05,3.333327054977417,0.2751159151584684,0.0917053050528228
piml-simpson,True,simpson,large,"256,256",67588,256,9,9,0.0,0.0,0.0023335107705659336,0.0001787775070249461,5.9592502341648694e-05,0.002371368231251836,0.00022764591955510587,7.588197318503528e-05,4.533556400727118e-05,1.3451771675764936e-05,4.4839238919216455e-06,3.530812422434489,0.5994950897282281,0.19983169657607602
piml-simpson,True,simpson,large,"256,256",67588,512,9,9,0.0,0.0,0.001762234036707216,0.00015678798565154717,5.2262661883849055e-05,0.0017805438385241562,0.00017455761034938295,5.8185870116460985e-05,2.454048707376286e-05,6.482204368236093e-06,2.160734789412031e-06,3.3902833461761475,0.5822790666423194,0.1940930222141065
piml-simpson,True,simpson,large,"256,256",67588,1024,9,9,0.0,0.0,0.0013264770257390207,9.677622350341177e-05,3.2258741167803924e-05,0.0013367841020226479,0.00011482176204507594,3.827392068169198e-05,1.137917843152536e-05,2.7752183404243747e-06,9.250727801414582e-07,4.662209166420831,1.041451452447651,0.347150484149217
piml-simpson,True,simpson,large,"256,256",67588,2048,9,9,0.0,0.0,0.0012676371132127112,0.00016326099182523954,5.442033060841318e-05,0.0012972619022346204,0.00014029240390749703,4.6764134635832344e-05,9.739945704091548e-06,2.244114888346933e-06,7.480382961156443e-07,5.598185618718465,1.886610010588853,0.6288700035296176
piml-simpson,True,simpson,large,"256,256",67588,4096,9,9,0.0,0.0,0.00105262436490092,4.1451626785224105e-05,1.3817208928408035e-05,0.0010553924496182138,6.0409472466112414e-05,2.013649082203747e-05,5.729107518466965e-06,6.947192782999843e-07,2.3157309276666143e-07,7.777519835366143,0.9878192332165636,0.32927307773885456
piml-simpson,True,simpson,large,"256,256",67588,8192,9,9,0.0,0.0,0.001162888449875431,0.00013798655585445563,4.599551861815188e-05,0.0011767156085827285,0.00015932144482379743,5.310714827459914e-05,7.041923456401693e-06,2.1835488003383375e-06,7.278496001127791e-07,11.55309205585056,3.6639674079459397,1.2213224693153133
piml-simpson,True,simpson,medium,"128,128",17412,64,9,9,0.0,0.0,0.007578086573630571,0.001814061596571617,0.0006046871988572057,0.007831566708369387,0.0019562936554739746,0.0006520978851579915,0.0008365638463550971,0.0005649538620664812,0.00018831795402216042,3.0809993743896484,0.0961962580110404,0.032065419337013464
piml-simpson,True,simpson,medium,"128,128",17412,128,9,9,0.0,0.0,0.004641897976398468,0.0006851317846500334,0.00022837726155001113,0.004741248829911153,0.0005670267133367783,0.00018900890444559278,0.00024610077606565837,0.00011227400855497429,3.7424669518324766e-05,3.174065934287177,0.18409582596548096,0.061365275321826986
piml-simpson,True,simpson,medium,"128,128",17412,256,9,9,0.0,0.0,0.003224803548720148,0.00020004369532161797,6.668123177387266e-05,0.0032848239772849614,0.00019760531901559904,6.586843967186635e-05,8.590771014698678e-05,1.5580730737998824e-05,5.193576912666275e-06,4.172169235017565,0.2758525679948679,0.0919508559982893
piml-simpson,True,simpson,medium,"128,128",17412,512,9,9,0.0,0.0,0.0020999114365420407,0.00017174580577219802,5.724860192406601e-05,0.0021089642282782328,0.00016455236397821263,5.485078799273755e-05,3.5536816641170946e-05,6.9735197320945825e-06,2.3245065773648607e-06,5.6792485978868275,0.6809050777374963,0.2269683592458321
piml-simpson,True,simpson,medium,"128,128",17412,1024,9,9,0.0,0.0,0.0017418151255697012,0.00023490458223691862,7.83015274123062e-05,0.0017761187369210853,0.00022272266674180233,7.424088891393411e-05,2.0226596158560522e-05,4.820939693324813e-06,1.6069798977749378e-06,4.964643372429742,1.1470288745143649,0.38234295817145497
piml-simpson,True,simpson,medium,"128,128",17412,2048,9,9,0.0,0.0,0.0015033089762760533,0.0001833328650920923,6.111095503069743e-05,0.0015313617574671905,0.0001826662688572826,6.088875628576087e-05,1.3541092003934966e-05,3.54481639473232e-06,1.1816054649107734e-06,5.8369377454121905,1.335871098546797,0.44529036618226564
piml-simpson,True,simpson,medium,"128,128",17412,4096,9,9,0.0,0.0,0.0013350382085061735,0.00012957813677337462,4.319271225779154e-05,0.0013655025330889556,0.00012446922855641413,4.148974285213804e-05,9.785196905593491e-06,1.866624168408655e-06,6.222080561362183e-07,7.400097846984863,1.3729959862087837,0.45766532873626126
piml-simpson,True,simpson,medium,"128,128",17412,8192,9,9,0.0,0.0,0.0011569660208705398,0.00013695625335843455,4.565208445281152e-05,0.001189147911241485,0.0001505835147139925,5.019450490466416e-05,7.071510026435135e-06,1.5637392531823858e-06,5.21246417727462e-07,10.52400173081292,2.264648621860984,0.7548828739536613
piml-simpson,True,simpson,small,"64,64",-1,64,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",-1,128,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",-1,256,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",-1,512,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",-1,1024,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",-1,2048,6,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,small,"64,64",4612,2048,3,3,0.0,0.0,0.0019505972353120644,0.00015949353319452269,9.208363432386219e-05,0.0018531614526485403,9.753337855842662e-05,5.6310922365681284e-05,2.4173891385241102e-05,6.229279479954923e-06,3.596476184609387e-06,9.288741509119669,1.0447525099224166,0.6031881428402445
piml-simpson,True,simpson,small,"64,64",4612,4096,9,9,0.0,0.0,0.0017371500790533093,0.0002359627734184751,7.865425780615838e-05,0.0017399294948619273,0.00023960514456435495,7.986838152145165e-05,1.716832129103649e-05,5.117594347286624e-06,1.7058647824288746e-06,10.967915614446005,1.8503366374282046,0.6167788791427349
piml-simpson,True,simpson,small,"64,64",4612,8192,9,9,0.0,0.0,0.0014395184892540176,0.0001292967025555787,4.3098900851859566e-05,0.0014445459237322211,0.00014500996764741842,4.8336655882472804e-05,1.1391037737161645e-05,2.3873121751130757e-06,7.957707250376919e-07,14.994375122918022,3.869380900000511,1.2897936333335036
piml-simpson,True,simpson,tiny,"32,32",-1,256,7,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",-1,512,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",-1,1024,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",-1,2048,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",-1,4096,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",-1,8192,9,0,0.0,0.0,,,,,,,,,,,,
piml-simpson,True,simpson,tiny,"32,32",1284,64,9,9,0.0,0.0,0.018671409123473696,0.002805676134715834,0.0009352253782386114,0.01866941216091315,0.0029321664271554438,0.0009773888090518145,0.0030836104286006754,0.0010902719805881624,0.0003634239935293875,3.473476436403063,0.18197309620332383,0.060657698734441275
piml-simpson,True,simpson,tiny,"32,32",1284,128,9,9,0.0,0.0,0.01632550700257222,0.0013717506712432794,0.0004572502237477598,0.016181858256459236,0.0015207017493558126,0.0005069005831186042,0.0022915834949041405,0.0003239649664921762,0.00010798832216405873,6.227015866173638,2.0015522975337903,0.6671840991779301
piml-simpson,True,simpson,tiny,"32,32",1284,256,2,2,0.0,0.0,0.011148391757160425,0.00034887646544949717,0.00024669291451573366,0.011608668137341738,0.0004977167438767036,0.0003519388847053051,0.0010599505621939898,7.611292787137273e-05,5.381996743381023e-05,9.952463388442993,0.3141342861180048,0.22212648391723633
piml-simpson,True,simpson,xlarge,"256,256,256",133380,64,9,9,0.0,0.0,0.004869998225735294,0.0014370552095175964,0.00047901840317253214,0.004997790868704517,0.001527532353196422,0.000509177451065474,0.0003775752961195798,0.00027296386180776787,9.098795393592262e-05,4.347629626592,0.22718265559315443,0.0757275518643848
piml-simpson,True,simpson,xlarge,"256,256,256",133380,128,9,9,0.0,0.0,0.0028933599177334043,0.00025800707456111383,8.600235818703794e-05,0.002954363098575009,0.0002919708922318119,9.73236307439373e-05,9.826131119754993e-05,4.247417538533645e-05,1.4158058461778816e-05,4.189880291620891,0.6243292964969978,0.20810976549899926
piml-simpson,True,simpson,xlarge,"256,256,256",133380,256,9,9,0.0,0.0,0.0020781232095840904,0.0001379799155557979,4.599330518526597e-05,0.0020943583868857888,0.0002290135753325303,7.633785844417677e-05,3.723705130040697e-05,8.938542519516983e-06,2.9795141731723277e-06,4.947063128153483,1.1908704227079498,0.3969568075693166
piml-simpson,True,simpson,xlarge,"256,256,256",133380,512,9,9,0.0,0.0,0.0014559072183652057,0.0002707230351029951,9.024101170099837e-05,0.0014629434250916045,0.0002453996983280389,8.179989944267963e-05,1.7978307874323542e-05,1.0722517902522971e-05,3.5741726341743237e-06,4.013684829076131,0.9188444526852696,0.3062814842284232
piml-simpson,True,simpson,xlarge,"256,256,256",133380,1024,9,9,0.0,0.0,0.001261435423253311,0.00015471174027731786,5.157058009243928e-05,0.0012791069198606743,0.00013538661300801686,4.512887100267229e-05,9.84003281701007e-06,2.240411034062589e-06,7.46803678020863e-07,4.1355378362867565,0.7511316536218406,0.2503772178739469
piml-simpson,True,simpson,xlarge,"256,256,256",133380,2048,9,9,0.0,0.0,0.0012442136649042368,0.00016902099231311672,5.634033077103891e-05,0.001251325438109537,0.00012911531824684997,4.3038439415616656e-05,9.059194932585038e-06,2.458922526281717e-06,8.196408420939057e-07,4.297818263371785,0.9028761124522484,0.3009587041507495
piml-simpson,True,simpson,xlarge,"256,256,256",133380,4096,9,9,0.0,0.0,0.0012014591549005774,0.0001220902775242104,4.06967591747368e-05,0.0012148881796747446,0.00012714516742818487,4.238172247606162e-05,6.847719153787087e-06,1.5567013730065055e-06,5.189004576688352e-07,6.4482122792137995,1.443955186525799,0.4813183955085996
piml-simpson,True,simpson,xlarge,"256,256,256",133380,8192,9,9,0.0,0.0,0.001143885517699851,0.00011945916276249034,3.981972092083011e-05,0.0011553208524775174,0.00013614744056606706,4.538248018868902e-05,6.398184167563967e-06,1.2273729370738893e-06,4.091243123579631e-07,12.345935901006063,3.5290402550016013,1.1763467516672004
